timestamp,label,battery_pct,drain_rate,gpu_temp,cpu_temp,wattage,fps,inference_ms,plugged,cpu_usage,hour_of_day
2026-02-28T13:03:58.263661,1,100,0.0,47.0,50.0,12.31,8.2,122.0,1,8.7,18
2026-02-28T13:03:58.345707,1,100,0.0,47.0,50.0,12.31,10.3,71.3,1,68.2,18
2026-02-28T13:03:58.434875,1,100,0.0,47.0,50.0,12.31,11.1,78.0,1,100.0,18
2026-02-28T13:03:58.522995,1,100,0.0,47.0,50.0,17.82,11.5,76.6,1,100.0,18
2026-02-28T13:03:58.613421,1,100,0.0,47.0,50.0,17.82,11.7,80.4,1,100.0,18
2026-02-28T13:03:58.696206,1,100,0.0,47.0,50.0,17.82,12.0,73.2,1,100.0,18
2026-02-28T13:03:58.770191,1,100,0.0,47.0,50.0,17.82,12.4,65.3,1,85.2,18
2026-02-28T13:03:58.843027,1,100,0.0,47.0,50.0,17.82,12.7,63.8,1,83.1,18
2026-02-28T13:03:58.918181,1,100,0.0,47.0,50.0,17.82,12.9,65.6,1,80.5,18
2026-02-28T13:03:58.992776,1,100,0.0,47.0,50.0,17.76,13.1,65.7,1,80.0,18
2026-02-28T13:03:59.064609,1,100,0.0,47.0,50.0,17.76,13.3,62.7,1,72.2,18
2026-02-28T13:03:59.137642,1,100,0.0,47.0,50.0,17.76,13.5,64.8,1,70.1,18
2026-02-28T13:03:59.222439,1,100,0.0,47.0,50.0,17.76,13.5,76.5,1,77.5,18
2026-02-28T13:03:59.292786,1,100,0.0,47.0,50.0,17.76,13.6,62.4,1,59.2,18
2026-02-28T13:03:59.366750,1,100,0.0,47.0,50.0,17.76,13.7,64.8,1,74.6,18
2026-02-28T13:03:59.442245,1,100,0.0,47.0,50.0,17.76,13.8,67.3,1,76.8,18
2026-02-28T13:03:59.515042,1,100,0.0,47.0,50.0,17.6,13.9,64.6,1,67.5,18
2026-02-28T13:03:59.588442,1,100,0.0,47.0,50.0,17.6,14.0,64.5,1,74.7,18
2026-02-28T13:03:59.662255,1,100,0.0,47.0,50.0,17.6,14.0,65.2,1,55.1,18
2026-02-28T13:03:59.737205,1,100,0.0,47.0,50.0,17.6,14.1,66.1,1,65.9,18
2026-02-28T13:03:59.808947,1,100,0.0,47.0,50.0,17.6,14.2,63.2,1,56.2,18
2026-02-28T13:03:59.882516,1,100,0.0,47.0,50.0,17.6,14.2,63.6,1,62.5,18
2026-02-28T13:03:59.954554,1,100,0.0,47.0,50.0,17.6,14.3,63.7,1,63.3,18
2026-02-28T13:04:00.027129,1,100,0.0,48.0,50.0,17.52,14.3,63.8,1,61.4,18
2026-02-28T13:04:00.100742,1,100,0.0,48.0,50.0,17.52,14.4,65.2,1,53.1,18
2026-02-28T13:04:00.175060,1,100,0.0,48.0,50.0,17.52,14.4,64.9,1,82.9,18
2026-02-28T13:04:00.248648,1,100,0.0,48.0,50.0,17.52,14.4,64.1,1,75.7,18
2026-02-28T13:04:00.324157,1,100,0.0,48.0,50.0,17.52,14.5,65.9,1,63.9,18
2026-02-28T13:04:00.393513,1,100,0.0,48.0,50.0,17.52,14.5,61.1,1,68.6,18
2026-02-28T13:04:00.815239,1,100,0.0,47.0,50.0,16.82,14.4,88.1,1,23.6,18
